"Timestamp","Status","CPU_Percent","Uptime","RAM_Used","RAM_Total","Disk_Usage","Top_Process"
"2026-01-22 12:48:26","OK","3.5","1 hour, 59 minutes","369Mi","1.9Gi","1%","(udev-worker)    3.5"
"2026-01-22 12:48:51","WARNING","200","1 hour, 59 minutes","369Mi","1.9Gi","1%","ps               200"
"2026-01-22 12:49:23","OK","20","2 hours, 0 minutes","357Mi","1.9Gi","1%","bash            20.0"
"2026-01-22 12:51:18","OK","4.3","2 hours, 1 minute","360Mi","1.9Gi","1%","(udev-worker)    4.3"
"2026-01-22 12:55:54","OK","20","2 hours, 6 minutes","367Mi","1.9Gi","1%","bash            20.0"
"2026-01-22 12:56:18","OK","25","2 hours, 6 minutes","363Mi","1.9Gi","1%","bash            25.0"
"2026-01-22 13:01:18","OK","33.3","2 hours, 11 minutes","366Mi","1.9Gi","1%","bash            33.3"
"2026-01-22 13:06:18","WARNING","200","2 hours, 16 minutes","353Mi","1.9Gi","1%","ps               200"
"2026-01-22 13:11:18","OK","25","0 minutes","349Mi","1.9Gi","1%","bash            25.0"
"2026-01-22 13:16:18","OK","16.6","0 minutes","345Mi","1.9Gi","1%","bash            16.6"
"2026-01-22 13:21:18","OK","20","0 minutes","345Mi","1.9Gi","1%","bash            20.0"
"2026-01-22 13:26:18","OK","25","0 minutes","344Mi","1.9Gi","1%","bash            25.0"
"2026-01-22 13:31:18","OK","9.3","0 minutes","345Mi","1.9Gi","1%","systemd          9.3"
"2026-01-22 13:36:18","OK","33.3","0 minutes","346Mi","1.9Gi","1%","bash            33.3"
"2026-01-22 13:41:18","WARNING","100","0 minutes","344Mi","1.9Gi","1%","ps               100"
"2026-01-22 13:46:18","OK","8.4","0 minutes","345Mi","1.9Gi","1%","systemd          8.4"
"2026-01-22 13:51:18","OK","9.9","0 minutes","345Mi","1.9Gi","1%","systemd          9.9"
"2026-01-22 13:56:18","OK","8","0 minutes","346Mi","1.9Gi","1%","systemd          8.0"
"2026-01-22 14:01:18","OK","33.3","0 minutes","345Mi","1.9Gi","1%","bash            33.3"
"2026-01-22 14:06:18","OK","8.9","0 minutes","344Mi","1.9Gi","1%","systemd          8.9"
"2026-01-22 14:11:18","OK","25","0 minutes","345Mi","1.9Gi","1%","bash            25.0"
"2026-01-22 14:16:18","WARNING","100","0 minutes","343Mi","1.9Gi","1%","ps               100"
"2026-01-22 14:21:18","OK","7.4","0 minutes","345Mi","1.9Gi","1%","systemd          7.4"
"2026-01-22 14:26:18","OK","33.3","0 minutes","346Mi","1.9Gi","1%","bash            33.3"
"2026-01-22 14:31:18","OK","33.3","0 minutes","344Mi","1.9Gi","1%","bash            33.3"
"2026-01-22 14:36:18","OK","25","0 minutes","345Mi","1.9Gi","1%","bash            25.0"
